RowNumber,CustomerId,name,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
36,15794171,zite,475,Chennai,Female,45,0,134264.04,1,1,0,27822.99,1
37,15788448,thackeray,490,Bangalore,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729599,siddiqui,804,Bangalore,Male,33,7,76548.6,1,0,1,98453.45,0
39,15717426,vijay,850,Chennai,Male,36,7,0,1,1,1,40812.9,0
40,15585768,wattal,582,Mumbai,Male,41,6,70349.48,2,0,1,178074.04,0
41,15619360,sanon,472,Bangalore,Male,40,4,0,1,1,0,70154.22,0
42,15738148,berde,465,Chennai,Female,51,8,122522.32,1,0,0,181297.65,1
43,15687946,kumpawat,556,Chennai,Female,61,2,117419.35,1,1,1,94153.83,0
44,15755196,walawalakar,834,Chennai,Female,49,2,131394.56,1,0,0,194365.76,1
45,15684171,abbi,660,Bangalore,Female,61,5,155931.11,1,1,1,158338.39,0
46,15754849,goswami,776,Mumbai,Female,32,4,109421.13,2,1,1,126517.46,0
47,15602280,savarkar,829,Mumbai,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771573,thakore,637,Mumbai,Female,39,9,137843.8,1,1,1,117622.8,1
49,15766205,sidhu,550,Mumbai,Male,38,2,103391.38,1,0,1,90878.13,0
50,15771873,gosain,776,Mumbai,Female,37,2,103769.22,2,1,0,194099.12,0
51,15616550,bhakri,698,Mumbai,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768193,datey,585,Mumbai,Male,36,5,146050.97,2,0,0,86424.57,0
53,15683553,virmani,788,Chennai,Female,33,5,0,2,0,0,116978.19,0
54,15702298,ray,655,Mumbai,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569590,shastri,601,Mumbai,Male,42,1,98495.72,1,1,0,40014.76,1
56,15760861,subramaniam,619,Chennai,Male,43,1,125211.92,1,1,1,113410.49,0
57,15630053,pitale,656,Chennai,Male,45,5,127864.4,1,1,0,87107.57,0
58,15647091,chotai,725,Mumbai,Male,19,0,75888.2,1,0,0,45613.75,0
59,15623944,jadon,511,Bangalore,Female,66,4,0,1,1,0,1643.11,1
60,15804771,zate,614,Chennai,Male,51,4,40685.92,1,1,1,46775.28,0
61,15651280,bose,742,Mumbai,Male,35,5,136857,1,0,0,84509.57,0
62,15773469,tirodkar,687,Mumbai,Female,27,9,152328.88,2,0,0,126494.82,0
63,15702014,talgeri,555,Bangalore,Male,33,1,56084.69,2,0,0,178798.13,0
64,15751208,tiwari,684,Bangalore,Male,56,8,78707.16,1,1,1,99398.36,0
65,15592461,gaikwad,603,Mumbai,Male,26,4,109166.37,1,1,1,92840.67,0
66,15789484,sahedev,751,Mumbai,Female,36,6,169831.46,2,1,1,27758.36,0
67,15696061,kanojiya,581,Mumbai,Female,34,1,101633.04,1,1,0,110431.51,0
68,15641582,wadhawa,735,Mumbai,Male,43,10,123180.01,2,1,1,196673.28,0
69,15638424,kirloskar,661,Mumbai,Female,35,5,150725.53,2,0,1,113656.85,0
70,15755648,thackeray,675,Chennai,Female,21,8,98373.26,1,1,0,18203,0
71,15703793,batliwalla,738,Mumbai,Male,58,2,133745.44,4,1,0,28373.86,1
72,15620344,bhardwaj,813,Chennai,Male,29,6,0,1,1,0,33953.87,0
73,15812518,narlikar,657,Bangalore,Female,37,0,163607.18,1,0,1,44203.55,0
74,15779052,barde,604,Mumbai,Female,25,5,157780.84,2,1,1,58426.81,0
75,15770811,kambli,519,Chennai,Male,36,9,0,2,0,1,145562.4,0
76,15780961,velankar,735,Chennai,Female,21,1,178718.19,2,1,0,22388,0
77,15614049,wattal,664,Chennai,Male,55,8,0,2,1,1,139161.64,0
78,15662085,kamboj,678,Chennai,Female,32,9,0,1,1,1,148210.64,0
79,15575185,mongia,757,Bangalore,Male,33,5,77253.22,1,0,1,194239.63,0
80,15803136,khedekar,416,Mumbai,Female,41,10,122189.66,2,1,0,98301.61,0
81,15706021,yederi,665,Chennai,Female,34,1,96645.54,2,0,0,171413.66,0
82,15663706,govind,777,Chennai,Female,32,2,0,1,1,0,136458.19,1
83,15641732,daswani,543,Chennai,Female,36,3,0,2,0,0,26019.59,0
84,15701164,varma,506,Chennai,Female,34,4,90307.62,1,1,1,159235.29,0
85,15738751,mahindra,493,Chennai,Female,46,4,0,2,1,0,1907.66,0
86,15805254,mohanty,652,Bangalore,Female,75,10,0,2,1,1,114675.75,0
87,15762418,ganesan,750,Bangalore,Male,22,3,121681.82,1,1,0,128643.35,1
88,15625759,wadekar,729,Chennai,Male,30,9,0,2,1,0,151869.35,0
89,15622897,virk,646,Chennai,Female,46,4,0,3,1,0,93251.42,1
90,15767954,gill,635,Mumbai,Female,28,3,81623.67,2,1,1,156791.36,0
91,15757535,tendulkar,647,Bangalore,Female,44,5,0,3,1,1,174205.22,1
92,15731511,biyani,808,Chennai,Male,45,7,118626.55,2,1,0,147132.46,0
93,15809248,manjrekar,524,Chennai,Female,36,10,0,2,1,0,109614.57,0
94,15640635,nandamuri,769,Chennai,Male,29,8,0,2,1,1,172290.61,0
95,15676966,munjal,730,Bangalore,Male,42,4,0,2,0,1,85982.47,0
96,15699461,bhatia,515,Bangalore,Male,35,10,176273.95,1,0,1,121277.78,0
97,15738721,hazra,773,Bangalore,Male,41,9,102827.44,1,0,1,64595.25,0
98,15693683,panse,814,Mumbai,Male,29,8,97086.4,2,1,1,197276.13,0
99,15604348,tejwani,710,Bangalore,Male,22,8,0,2,0,0,99645.04,0
100,15633059,negi,413,Chennai,Male,34,9,0,2,0,0,6534.18,0
101,15808582,chimurkar,665,Chennai,Female,40,6,0,1,1,1,161848.03,0
102,15743192,walker,623,Chennai,Female,44,6,0,2,0,0,167162.43,0
103,15580146,parmar,738,Chennai,Male,31,9,82674.15,1,1,0,41970.72,0
104,15776605,holkar,528,Bangalore,Male,36,7,0,2,1,0,60536.56,0
105,15804919,wadhavkar,670,Bangalore,Female,65,1,0,1,1,1,177655.68,1
106,15613854,parikh,622,Bangalore,Female,46,4,107073.27,2,1,1,30984.59,1
107,15599195,kumbhare,582,Mumbai,Male,32,1,88938.62,1,1,1,10054.53,0
108,15812878,sanon,785,Mumbai,Female,36,2,99806.85,1,0,1,36976.52,0
109,15602312,firodia,605,Bangalore,Male,33,5,150092.8,1,0,0,71862.79,0
110,15744689,chahal,479,Mumbai,Male,35,9,92833.89,1,1,0,99449.86,1
111,15803526,wagle,685,Mumbai,Male,30,3,90536.81,1,0,1,63082.88,0
112,15665790,vij,538,Mumbai,Male,39,7,108055.1,2,1,0,27231.26,0
113,15715951,wangdu,562,Chennai,Male,42,2,100238.35,1,0,0,86797.41,0
114,15591100,khanduja,675,Bangalore,Male,36,9,106190.55,1,0,1,22994.32,0
115,15609618,wagh,721,Mumbai,Male,28,9,154475.54,2,0,1,101300.94,1
116,15675522,kambli,628,Mumbai,Female,30,9,132351.29,2,1,1,74169.13,0
117,15705512,gangopadhyay,668,Mumbai,Female,37,6,167864.4,1,1,0,115638.29,0
118,15698028,tufchi,506,Chennai,Female,41,1,0,2,1,0,31766.3,0
119,15661670,hashmi,524,Mumbai,Female,31,8,107818.63,1,1,0,199725.39,1
120,15600781,kapadia,699,Mumbai,Male,34,4,185173.81,2,1,0,120834.48,0
121,15682472,shourey,828,Chennai,Male,34,8,129433.34,2,0,0,38131.77,0
122,15580203,sonowal,674,Bangalore,Male,39,6,120193.42,1,0,0,100130.95,0
123,15690673,arya,656,Chennai,Female,39,6,0,2,1,0,141069.88,0
124,15760085,nair,684,Mumbai,Female,48,10,126384.42,1,1,1,198129.36,0
125,15779659,vartak,625,Chennai,Female,28,3,0,1,0,0,183646.41,0
126,15627360,soni,432,Chennai,Male,42,9,152603.45,1,1,0,110265.24,1
127,15671137,garg,549,Chennai,Female,52,1,0,1,0,1,8636.05,1
128,15782688,puranik,625,Mumbai,Male,56,0,148507.24,1,1,0,46824.08,1
129,15575492,yelimeli,828,Chennai,Female,41,7,0,2,1,0,171378.77,0
130,15591607,zite,770,Chennai,Male,24,9,101827.07,1,1,0,167256.35,0
131,15740404,taparia,758,Chennai,Female,34,3,0,2,1,1,124226.16,0
132,15718369,sahukar,795,Mumbai,Female,33,9,130862.43,1,1,1,114935.21,0
133,15677871,pandian,687,Chennai,Male,38,9,122570.87,1,1,1,35608.88,0
134,15642004,lodha,686,Chennai,Male,25,1,0,2,0,1,16459.37,0
135,15712543,tak,789,Mumbai,Male,39,7,124828.46,2,1,1,124411.08,0
136,15584518,baid,589,Mumbai,Female,50,5,144895.05,2,1,1,34941.23,0
137,15802381,duddala,461,Mumbai,Female,34,5,63663.93,1,0,1,167784.28,0
138,15610156,malhotra,637,Chennai,Male,40,2,133463.1,1,0,1,93165.34,0
139,15594408,biyani,584,Bangalore,Female,48,2,213146.2,1,1,0,75161.25,1
140,15640905,gaikwad,579,Bangalore,Female,35,1,129490.36,2,0,1,8590.83,1
141,15698932,dang,756,Mumbai,Male,44,10,137452.09,1,1,0,189543.9,0
142,15724944,darling,663,Chennai,Male,34,7,0,2,1,1,180427.24,0
143,15628145,gowda,682,Chennai,Female,43,5,125851.93,1,1,1,193318.33,0
144,15713483,ganguly,793,Bangalore,Male,52,2,0,1,1,0,159123.82,1
145,15612350,omkareshwar,691,Chennai,Female,31,5,40915.55,1,1,0,126213.84,1
146,15800703,kadakia,485,Bangalore,Female,21,5,113157.22,1,1,1,54141.5,0
147,15705707,jadeja,635,Bangalore,Female,29,8,138296.94,2,1,0,141075.51,0
148,15754105,dhone,650,Chennai,Male,37,5,106967.18,1,0,0,24495.03,0
149,15703264,waghmare,735,Chennai,Male,44,9,120681.63,1,1,0,74836.34,0
150,15794413,jagtap,416,Chennai,Male,32,0,0,2,0,1,878.87,0
151,15650237,mukherjee,754,Bangalore,Female,32,7,0,2,1,0,89520.75,0
152,15759618,irani,535,Chennai,Female,48,9,0,1,1,0,149892.79,1
153,15811589,ashar,716,Bangalore,Male,42,8,0,2,1,0,180800.42,0
154,15689044,panse,539,Chennai,Male,37,2,127609.59,1,1,0,98646.22,0
155,15709368,yenkie,614,Chennai,Female,43,6,0,2,1,1,109041.53,0
156,15679145,asthana,706,Bangalore,Male,57,7,0,1,1,0,17941.16,1
157,15655007,goenka,758,Chennai,Female,33,7,0,2,0,0,82996.47,0
158,15623595,irani,586,Bangalore,Female,28,2,0,2,1,1,92067.35,0
159,15589975,bansal,646,Chennai,Female,73,6,97259.25,1,0,1,104719.66,0
160,15804017,dosanjh,631,Mumbai,Female,33,4,123246.7,1,0,0,112687.57,0
161,15692132,laghate,717,Bangalore,Female,22,6,101060.25,1,0,1,84699.56,0
162,15641122,jhawar,684,Chennai,Male,30,2,0,2,1,0,83473.82,0
163,15630910,tata,800,Chennai,Female,49,7,108007.36,1,0,0,47125.11,0
164,15680772,hazari,721,Bangalore,Female,36,2,0,2,1,1,106977.8,0
165,15658929,[simha]],683,Bangalore,Male,29,0,133702.89,1,1,0,55582.54,1
166,15585388,kanhe,660,Mumbai,Male,31,9,125189.75,2,1,1,139874.43,0
167,15724623,ganatra,704,Mumbai,Female,24,7,113034.22,1,1,0,162503.48,1
168,15588537,mandlekar,615,Bangalore,Female,41,9,109013.23,1,1,0,196499.96,0
169,15574692,paruchuri,667,Bangalore,Female,39,2,0,2,1,0,40721.24,1
170,15611325,ray,682,Mumbai,Male,24,9,57929.81,2,0,0,53134.3,0
171,15587562,pagi,484,Chennai,Female,29,4,130114.39,1,1,0,164017.89,0
172,15613172,gandhi,628,Mumbai,Male,27,5,95826.49,2,1,0,155996.96,0
173,15651022,parsodkar,480,Mumbai,Male,44,10,129608.57,1,1,0,5472.7,1
174,15586310,somalwar,578,Chennai,Male,30,4,169462.09,1,1,0,112187.11,0
175,15625524,malhotra,512,Chennai,Male,40,5,0,2,1,1,146457.83,0
176,15755209,zite,484,Bangalore,Female,35,7,133868.21,1,1,1,27286.1,0
177,15645248,more,510,Chennai,Female,30,0,0,2,1,1,130553.47,0
178,15790355,govitrikar,606,Mumbai,Male,36,5,190479.48,2,0,0,179351.89,0
179,15762615,dhawan,597,Bangalore,Female,40,8,101993.12,1,0,1,94774.12,0
180,15625426,vaghela,754,Mumbai,Female,55,3,161608.81,1,1,0,8080.85,1
181,15716334,zaantye,850,Bangalore,Female,45,2,122311.21,1,1,1,19482.5,0
182,15789669,khan,510,Chennai,Male,65,2,0,2,1,1,48071.61,0
183,15621075,nath,778,Mumbai,Female,45,1,162150.42,2,1,0,174531.27,0
184,15810845,velugubanti,636,Chennai,Male,42,2,0,2,1,1,55470.78,0
185,15719377,bika,804,Chennai,Female,50,4,0,1,1,1,8546.87,1
186,15654506,kar,514,Chennai,Male,32,8,0,2,1,0,95857.18,0
187,15771977,awasthi,730,Chennai,Female,39,1,99010.67,1,1,0,194945.8,0
188,15708710,oberoi,525,Bangalore,Female,37,0,0,1,0,1,131521.72,0
189,15726676,satam,616,Bangalore,Male,30,5,0,2,0,1,196108.51,0
190,15587421,pandey,687,Mumbai,Female,34,7,111388.18,2,1,0,148564.76,0
191,15726931,shriyan,715,Chennai,Female,41,8,56214.85,2,0,0,92982.61,1
192,15771086,amble,512,Chennai,Female,36,3,84327.77,2,1,0,17675.36,0
193,15756850,dey,479,Chennai,Male,40,1,0,2,0,0,114996.43,0
194,15702741,motwani,601,Chennai,Male,32,8,93012.89,1,1,0,86957.42,0
195,15679200,gupta,580,Bangalore,Male,29,9,61710.44,2,1,0,128077.8,0
196,15594815,thakran,807,Chennai,Male,35,3,174790.15,1,1,1,600.36,0
197,15635905,virk,616,Bangalore,Female,32,6,0,2,1,1,43001.46,0
198,15777892,puthran,721,Mumbai,Male,37,3,107720.64,1,1,1,158591.12,0
199,15656176,chatterjee,501,Chennai,Male,57,10,0,2,1,1,47847.19,0
200,15811127,nimbalkar,521,Chennai,Male,35,6,96423.84,1,1,0,10488.44,0
201,15604482,shenoy,850,Bangalore,Male,30,2,141040.01,1,1,1,5978.2,0
202,15622911,gajjar,759,Chennai,Male,42,4,105420.18,1,0,1,121409.06,0
203,15600974,raaz,516,Bangalore,Male,50,5,0,1,0,1,146145.93,1
204,15727868,venkateswaran,711,Chennai,Female,38,2,129022.06,2,1,1,14374.86,1
205,15627801,kukyan,512,Bangalore,Male,33,3,176666.62,1,1,0,94670.77,0
206,15773039,chavan,550,Chennai,Male,37,3,0,1,1,1,179670.31,0
207,15755262,unnikrishnan,608,Bangalore,Female,41,3,89763.84,1,0,0,199304.74,1
208,15679531,krishna,618,Chennai,Male,34,5,134954.53,1,1,1,151954.39,0
209,15684181,"doifode, doiphode",643,Chennai,Male,45,5,0,1,1,0,142513.5,1
210,15612087,haasan,671,Chennai,Male,45,2,106376.85,1,0,1,158264.62,0
211,15752047,warsi,689,Mumbai,Male,33,2,161814.64,2,1,0,169381.9,0
212,15624592,wattal,603,Chennai,Male,31,8,0,2,1,1,169915.02,0
213,15573152,raaju,620,Chennai,Female,41,9,0,2,0,0,88852.47,0
214,15594917,walia,676,Chennai,Female,34,1,63095.01,1,1,1,40645.81,0
215,15785542,munshi,572,Mumbai,Male,26,4,118287.01,2,0,0,60427.3,0
216,15723488,bhavsar,668,Mumbai,Male,47,7,106854.21,1,0,1,157959.02,1
217,15680920,jawalkar,695,Chennai,Male,46,7,49512.55,1,1,0,133007.34,0
218,15786308,batra,730,Bangalore,Female,33,9,0,2,0,0,176576.62,0
219,15659366,chettipally,807,Chennai,Male,43,1,105799.32,2,1,0,34888.04,1
220,15774854,diwadkar,592,Chennai,Male,54,8,0,1,1,1,28737.71,1
221,15725311,talwar,726,Chennai,Female,31,9,114722.05,2,1,1,98178.57,0
222,15787155,narlikar,514,Bangalore,Male,30,7,0,1,0,1,125010.24,0
223,15727829,hagavane,567,Chennai,Male,42,2,0,2,1,1,167984.61,0
224,15733247,jhawar,850,Chennai,Male,33,10,0,1,1,0,4861.72,1
225,15568748,vaidya,671,Mumbai,Male,45,6,99564.22,1,1,1,108872.45,1
226,15699029,gulwadi,670,Chennai,Male,37,4,170557.91,2,1,0,198252.88,0
227,15774393,thakore,694,Chennai,Female,30,9,0,2,1,1,26960.31,0
228,15676895,ravinuthala,547,Mumbai,Female,39,6,74596.15,3,1,1,85746.52,1
229,15637753,parikh,751,Mumbai,Male,50,2,96888.39,1,1,0,77206.25,1
230,15605461,janardhan,594,Mumbai,Female,29,3,130830.22,1,1,0,61048.53,0
231,15808473,kadam,673,Chennai,Male,72,1,0,2,0,1,111981.19,0
232,15627000,dandale,610,Chennai,Male,40,0,0,2,1,0,62232.6,0
233,15787174,samarth,512,Chennai,Female,37,1,0,2,0,1,156105.03,0
234,15723886,tak,767,Mumbai,Male,20,3,119714.25,2,0,1,150135.38,0
235,15704769,sen,585,Chennai,Female,67,5,113978.97,2,0,1,93146.11,0
236,15772896,amarnath,763,Mumbai,Male,42,6,100160.75,1,1,0,33462.94,1
237,15711540,vyas,712,Chennai,Female,29,2,0,1,1,1,144375,0
238,15764866,janolkar,539,Mumbai,Female,43,3,116220.5,3,1,0,55803.96,1
239,15794056,lalbhai,668,Chennai,Female,46,2,0,3,1,0,89048.46,1
240,15795149,mahajan,703,Chennai,Male,28,2,81173.83,2,0,1,162812.16,0
241,15812009,ghoshal,662,Bangalore,Male,38,4,0,2,1,0,136259.65,0
242,15651001,berde,725,Mumbai,Female,39,5,116803.8,1,1,0,124052.97,0
243,15813844,pathak,703,Chennai,Male,37,8,105961.68,2,0,1,74158.8,0
244,15596175,chimurkar,659,Mumbai,Male,67,6,117411.6,1,1,1,45071.09,1
245,15576269,hoskote,523,Bangalore,Male,34,7,0,2,1,0,62030.06,0
246,15797219,sawant,635,Chennai,Female,40,10,123497.58,1,1,0,131953.23,1
247,15685500,soman,772,Mumbai,Male,26,7,152400.51,2,1,0,79414,0
248,15599792,phatak,545,Chennai,Female,26,1,0,2,1,1,199638.56,0
249,15657566,vora,634,Mumbai,Male,24,8,103097.85,1,1,1,157577.29,0
250,15772423,mali,739,Mumbai,Male,54,8,126418.14,1,1,0,134420.75,1
251,15628112,more,771,Mumbai,Female,36,5,77846.9,1,0,0,99805.99,0
252,15753754,"kundra, kunder",587,Bangalore,Female,34,1,0,2,1,1,97932.68,0
253,15793726,haridas,681,Chennai,Female,79,0,0,2,0,1,170968.99,0
254,15694717,palod,544,Mumbai,Male,37,2,79731.91,1,1,1,57558.95,0
255,15665834,gosai,696,Bangalore,Male,28,8,0,1,0,0,176713.47,0
256,15765297,sawhney,766,Bangalore,Male,41,0,0,2,0,1,34283.23,0
257,15636684,visariya,727,Chennai,Male,34,10,0,2,1,1,198637.34,0
258,15592979,parekh,671,Mumbai,Female,34,6,37266.67,2,0,0,156917.12,0
259,15750803,dhote,693,Chennai,Female,30,6,127992.25,1,1,1,50457.2,0
260,15607178,abbi,850,Mumbai,Male,38,3,54901.01,1,1,1,140075.55,0
261,15713853,molkar,732,Mumbai,Male,42,9,108748.08,2,1,1,65323.11,0
262,15673481,gohad,726,Bangalore,Female,48,6,99906.19,1,1,0,64323.24,0
263,15686776,saraf,557,Chennai,Female,32,6,184686.41,2,1,0,14956.44,0
264,15673693,thuse,682,Chennai,Female,26,0,110654.02,1,0,1,111879.21,0
265,15700696,zende,738,Bangalore,Male,31,9,79019.8,1,1,1,18606.23,0
266,15813163,hattangadi,531,Bangalore,Female,36,9,99240.51,1,1,0,123137.01,0
267,15653857,haridas,498,Chennai,Male,34,2,0,2,1,1,148528.24,0
268,15777076,khobragade,651,Chennai,Male,36,7,0,2,1,0,13898.31,0
269,15717398,yerukola,549,Bangalore,Female,39,7,0,1,0,0,81259.25,1
270,15799217,devaiah,791,Mumbai,Female,35,7,52436.2,1,1,0,161051.75,0
271,15787071,rode,650,Bangalore,Male,41,9,0,2,0,1,191599.67,0
272,15619955,phatak,733,Mumbai,Male,34,3,100337.96,3,1,0,48559.19,1
273,15796505,kukde,811,Mumbai,Female,34,1,149297.19,2,1,1,186339.74,0
274,15725166,padukone,707,Chennai,Male,30,8,0,2,1,0,33159.37,0
275,15800116,tyagi,712,Mumbai,Male,28,4,145605.44,1,0,1,93883.53,0
276,15758685,udyavar,706,Bangalore,Female,37,7,0,2,1,1,110899.3,0
277,15694456,malhotra,756,Chennai,Male,62,3,0,1,1,1,11199.04,1
278,15767339,lamba,777,Chennai,Female,53,10,0,2,1,0,189992.97,0
279,15683562,grover,646,Chennai,Male,35,6,84026.86,1,0,1,164255.69,0
280,15782210,zite,714,Chennai,Male,46,1,0,1,1,0,152167.79,1
281,15668893,thakrey,782,Chennai,Male,39,8,0,2,1,1,33949.67,0
282,15669169,jadon,775,Bangalore,Male,29,10,0,2,1,1,68143.93,0
283,15643024,chaudhari,479,Mumbai,Male,35,4,138718.92,1,1,1,47251.79,1
284,15699389,khetarpal,807,Chennai,Male,42,7,118274.71,1,1,1,25885.72,0
285,15708608,pandey,799,Chennai,Female,22,8,174185.98,2,0,1,192633.85,0
286,15626144,chander,675,Chennai,Male,40,7,113208.86,2,1,0,34577.36,0
287,15573112,unni,602,Bangalore,Male,29,5,103907.28,1,1,0,161229.84,0
288,15790678,tata,475,Chennai,Female,32,8,119023.28,1,1,0,100816.29,0
289,15727556,yederi,744,Bangalore,Female,26,5,166297.89,1,1,1,181694.44,0
290,15697307,gangotri,588,Bangalore,Male,34,10,0,2,1,0,79078.91,0
291,15652266,warsi,703,Mumbai,Male,42,9,63227,1,0,1,137316.32,0
292,15607098,mallapur,747,Bangalore,Female,41,5,94521.17,2,1,0,194926.86,0
293,15655774,safary,583,Chennai,Male,27,7,0,2,1,0,51285.49,0
294,15590241,rakshit,750,Bangalore,Female,34,9,112822.26,1,0,0,150401.53,1
295,15785819,bose,681,Chennai,Male,38,3,0,2,1,1,112491.96,0
296,15723654,wankar,773,Chennai,Male,25,2,135903.33,1,1,0,73656.38,0
297,15774510,haridas,714,Chennai,Female,31,4,125169.26,1,1,1,106636.89,0
298,15684173,mendon,687,Bangalore,Female,44,7,0,3,1,0,155853.52,1
299,15650068,gore,511,Chennai,Male,58,0,149117.31,1,1,1,162599.51,0
300,15811490,gajjar,627,Chennai,Male,33,5,0,2,1,1,103737.82,0
301,15803976,setna,694,Chennai,Female,31,10,0,2,1,0,160990.27,0
302,15682541,yenkie,616,Bangalore,Female,36,6,132311.71,1,0,0,15462.84,0
303,15695699,venkat,687,Chennai,Male,35,8,0,2,1,0,10334.05,0
304,15624188,warhadpande,712,Chennai,Female,33,6,0,2,1,1,190686.16,0
305,15812191,mayar,553,Chennai,Male,33,4,118082.89,1,0,0,94440.45,0
306,15636673,vaida,667,Chennai,Male,31,1,119266.69,1,1,1,28257.63,0
307,15594898,oak,731,Chennai,Male,43,2,0,1,1,1,170034.95,1
308,15660211,hazari,629,Mumbai,Male,35,7,156847.29,2,1,0,31824.29,0
309,15773972,mahalingam,614,Chennai,Male,50,4,137104.47,1,1,0,127166.49,1
310,15746726,agnihotri,438,Mumbai,Male,31,8,78398.69,1,1,0,44937.01,0
311,15712287,raxit,652,Chennai,Female,80,4,0,2,1,1,188603.07,0
312,15702919,thakore,729,Mumbai,Male,30,6,63669.42,1,1,0,145111.37,0
313,15674398,kottary,642,Chennai,Male,38,3,0,2,0,0,171463.83,0
314,15797960,namboodiri,806,Mumbai,Female,59,0,135296.33,1,1,0,182822.5,0
315,15631868,grewal,744,Bangalore,Male,36,2,153804.44,1,1,1,87213.33,0
316,15581539,manjrekar,474,Bangalore,Male,37,3,0,2,0,0,57175.32,0
317,15662736,gadre,559,Chennai,Male,49,2,147069.78,1,1,0,120540.83,1
318,15666252,janefalkar,706,Bangalore,Male,42,9,0,2,1,1,28714.34,0
319,15677512,chattopadhyay,628,Bangalore,Female,22,3,0,1,1,0,85426.28,0
320,15626114,gunnam,429,Chennai,Male,24,4,95741.75,1,1,0,46170.75,0
321,15810834,inamdar,525,Bangalore,Female,57,2,145965.33,1,1,1,64448.36,0
322,15678910,wagh,680,Chennai,Female,30,8,141441.75,1,1,1,16278.97,0
323,15694408,ganguly,749,Chennai,Male,40,1,139290.41,1,1,0,182855.42,1
324,15585215,shrikhande,763,Chennai,Female,31,4,0,2,0,0,50404.72,0
325,15682757,haridas,734,Chennai,Male,30,3,0,2,1,0,107640.25,0
326,15736601,uppalapati,716,Chennai,Male,35,4,144428.87,1,1,0,134132.65,0
327,15601848,gavit,594,Chennai,Male,35,2,0,2,1,0,103480.69,0
328,15736008,mukherjee,644,Chennai,Female,46,9,95441.27,1,1,0,108761.05,1
329,15669064,negi,671,Mumbai,Male,35,1,144848.74,1,1,1,179012.3,0
330,15624528,prasadi,664,Mumbai,Male,26,7,116244.14,2,1,1,95145.14,0
331,15598493,uplenchwar,656,Chennai,Male,50,7,0,2,0,1,72143.44,0
